id,Comentários,Gênero,Razão
1.000000,"Atendimento excelente. Qualidade das acomodações. Transporte conveniente para o aeroporto.","mulher","negócio"
2.000000,"Quarto muito grande, ma não transporte.","mulher","negócio"
3.000000,"Qualidade do servico foi excelente! Temos 2 filhas e fomos muito bem recebidos e tratados. Recomendaria fortemente para outras familias se hospedarem neste hotel. Todos adoramos a experiencia!","mulher","negócio"
4.000000,"Os funcionarios sao educados e cordiais. Jornais disponiveis","homem","recreação"
5.000000,"Quarto muito amplo. Os funcionarios forma muitos simpaticos ","mulher","negócio"
6.000000,"Hotel bem localizado. Funcionário atentos. Jornais disponiveis no club lounge.","homem","recreação"
7.000000,"Quarto muito amplo e bom","mulher","negócio"
8.000000,"os quartos necessitam de modernização. não transporte gratuito","homem","negócio"
9.000000,"o quarto estava umido e os travesseiros estavam com mau cheiro","mulher","recreação"
10.000000,"No geral, funcionários arrogantes. não   transporte para o aeroporto.","mulher","negócio"
11.000000,"O quarto era muito pequeno e apertado","mulher","negócio"
12.000000,"O cheiro de mofo nos elevadores e no quarto eram inaceitáveis.","homem","negócio"
13.000000,"O quarto estava com muito cheiro de mofo....desagradavel","homem","recreação"
14.000000,"O quarto deveria estar mais limpo. Havia manchas no chão do quarto.","mulher","recreação"
15.000000,"Atendimento  não foi como esperado.","mulher","negócio"
16.000000,"Má insonorização dos quartos e da janela","mulher","recreação"
17.000000,"apresentação e localização do hotel.","homem","recreação"
18.000000,"Má  localização do hotel. não  transporte","mulher","negócio"
19.000000,"A cortesia das pessoas, excluindo o pessoal de parking de carros","homem","negócio"
20.000000,"os quartos necessitam de modernização.","homem","recreação"
21.000000,"Funcionarios cordiais","homem","recreação"
22.000000,"Hotel bem localizado. Camas muito estreitas","homem","negócio"
23.000000,"Cama muito estreita. Bom localizaçao","mulher","negócio"
24.000000,"Banheiro limpo. Faltou a toalha de chao de banheiro","mulher","recreação"
25.000000,"O hotel é muito bom. O único ponto horroroso é a comida, muito ruim e pouca variedade","mulher","negócio"
26.000000,"O equipamento dos apartamentos precissam de modernizacao, especialmente o banheiro","mulher","negócio"
27.000000," TV complicada de utilizar","mulher","recreação"
28.000000," Gostaria que fosse  o acesso à internet free","mulher","recreação"
29.000000,"O hotel é muito bom. O único ponto horroroso é a comida, muito ruim e pouca variedade","homem","negócio"
30.000000,"Ausencia de Internet wi-fi gratis nos quartos","homem","negócio"
31.000000,"Ausencia de Internet wi-fi gratis","homem","recreação"
32.000000,"Cheiro a humidad","homem","recreação"
33.000000,"O quarto tinha um cheiro a humidad","mulher","negócio"
34.000000,"O hotel é muito bom. O único ponto horroroso é a comida, muito ruim e pouca variedade","homem","recreação"
35.000000,"os quartos necessitam de modernização.","homem","negócio"
36.000000,"tudo muito bem organizado, com funcionários muito atenciosos e educados. ","mulher","negócio"
37.000000,"Eficiencia na recepção, boa localização.","homem","recreação"
38.000000,"equipe bem treinada e preocupada em nos atender","homem","recreação"
39.000000,"o custo benefício não vale a pena!","mulher","recreação"
40.000000," Péssima relação custo-benefício","homem","recreação"
41.000000,"Cafe da manha pobre. Estrutura velha. Preços extorsivos.","mulher","negócio"
42.000000,"Estrutura velha. Preços extorsivos.","mulher","negócio"
43.000000,"Preço extorsivo","mulher","recreação"
44.000000," Péssima relação custo-benefício","homem","recreação"
45.000000," É ANTIGIO , MAL DECORADO E MAL CONSERVADO","homem","negócio"
46.000000,"Este hotel possui excelente localização e um staff sempre atencioso. ","homem","negócio"
47.000000,"Muito bom.  é sempre um prazer rotornar! ","mulher","recreação"
48.000000,"Os atendentes do Club Floor são muito gentis e simpáticos","mulher","recreação"
49.000000,"Os atendentes  muito gentis e simpáticos","homem","recreação"
50.000000,"Porta do quarto avariada, limpeza descuidada, secador de cabelo não funcionava, comida de qualidade discutivel e repetitiva. antipatia de alguns funcionários","homem","recreação"
51.000000," Péssima relação custo-benefício","mulher","recreação"
52.000000,"antipatia de alguns funcionários","homem","recreação"
53.000000,"Bom relação custo-benefício; antipatia de alguns funcionários","mulher","recreação"
54.000000,"limpeza descuidada.","homem","negócio"
55.000000,"Muita lentidão no atendimento na recepção","homem","negócio"
56.000000," Péssima relação custo-benefício","homem","recreação"
57.000000,"No serviço de spa  fomos mal atendido","mulher","recreação"
58.000000,"A cordialidade do serviço e a limpeza ","mulher","negócio"
59.000000,"conforto das instalações","homem","negócio"
60.000000,"conforto das instalações. ","homem","recreação"
61.000000,"Staff extremamente gentil. Hotel silencioso. Club lounge de boa qualidade","mulher","recreação"
62.000000,"Hotel silencioso","homem","negócio"
63.000000," ambiente totalmente confortável ","mulher","negócio"
64.000000,"O quarto muito bom, o serviço é bastante impessoal
","homem","recreação"
65.000000,"vista muito bonita","homem","negócio"
